"id","label","parent","obsolete"
"application/index-qcm+xml","QCM","","0"
"application/pdf","PDF","","0"
"application/msword","TEXT","","0"
"application/vnd.oasis.opendocument.text","TEXT","","0"
"application/vnd.openxmlformats-officedocument.wordprocessingml.document","TEXT","","0"
"application/vnd.ms-excel","SPREADSHEET","","0"
"application/vnd.oasis.opendocument.spreadsheet","SPREADSHEET","","0"
"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","SPREADSHEET","","0"
"application/vnd.ms-powerpoint","PRESENTATION","","0"
"application/vnd.oasis.opendocument.presentation","PRESENTATION","","0"
"application/vnd.openxmlformats-officedocument.presentationml.presentation","PRESENTATION","","0"
"image/","IMAGE","","0"
"audio/","AUDIO","","0"
"video/","VIDEO","","0"

